symbol;value
NRIP2;1327
LAMA3;902
AP5M1;835
ANAPC4;823
KCNQ1;1030
TRAPPC3;1641
THRAP3;4388
PHPT1;1492
ENTPD2;113
LY75;523
ARID4B;1322
OPN3;1810
SDCCAG8;939
PTPRN;532
HHAT;383
KIF1B;1931
FOXC1;633
TBC1D22A;1730
SYNE2;3356
PLEKHH1;457
ATP9A;1457
SPO11;0
CBLN4;212
CHRDL2;60
FAM168A;2900
RELT;406
GALC;1676
NOP58;1227
SZRD1;6160
KCNH2;33
CUL1;2482
FAM114A2;1068
CYFIP2;5678
TAB2;2259
GINM1;2287
EIF2AK2;1614
USP36;1441
KMT2C;2538
MCOLN3;14
CCDC85A;51
PUM2;3975
MRPL43;2211
ITIH4;13
ITIH1;4
HPF1;530
ZFR;2680
ZNF280C;141
NPFFR2;0
PHF21B;1
TRAF1;631
RC3H2;1553
IL17RB;623
TRAF3IP2;1355
GYG2;105
DCBLD2;2851
SERPINB3;1
SOAT1;2633
PKP2;527
MSH4;12
F7;2
GDI2;6465
PRDM1;1601
ATG5;935
TMCC3;1043
PITHD1;1487
MTA3;945
USP13;540
ATP11B;1626
LAMC2;1089
CDK14;1823
SEC61A1;13294
PPP1R12A;2286
RASGRF1;22
CAMK2B;16
CROCC;817
POLR3E;1062
ATP2B4;5831
ZC3H11A;10
RIOK2;822
YIPF1;888
NDC1;730
DGKG;313
FLYWCH1;1044
UNKL;917
TBXAS1;1260
PARP12;1420
ALDH18A1;2960
TARBP1;1138
GATB;779
MXD1;571
CDK17;1595
DNAJC25;270
SLC2A3;4291
PSD;128
CTDP1;760
YBX3;17936
STYK1;18
WNK1;4929
RPS17P5;1
CCAR1;1406
OGFR;1961
GNA15;360
CREB3L3;97
PIGV;501
PTPRU;2058
SNRNP40;720
RIMBP2;10
COL11A1;16
QSER1;1099
MPC1;1372
ACAA1;1628
BCAT1;495
HDAC7;4288
LZTS1;2363
PRDM6;36
WNT8A;0
SPAG4;2086
NCKAP1;5485
MRPS35;2447
GUCY1B1;2120
SFSWAP;1967
TNK2;1224
MON2;2129
CDH3;46
ARSF;43
GPBP1;2780
DGAT2;16
ZNF112;154
CS;5088
LTK;18
MRPS24;18
ELMO2;1132
WAPL;1861
VMP1;7037
APPBP2;1522
POLD1;443
SEZ6;7
EIF4B;17511
SLC6A16;272
BICRA;505
SPHK2;459
RPL18;20108
CA11;211
ISOC2;2524
U2AF2;4017
EPN1;5403
MED29;2633
