symbol;value
GNB5;4
RAB27A;5
HDHD5;5
UFD1;24
LRP6;0
GUCY2C;101
SCT;2
PHRF1;9
ELP1;1
NUCB2;2
PFN2;3
PTPN3;3
SPTB;107
DAPP1;1
FGF10;0
SLC44A1;0
TMEM260;0
SMG6;65
EXOC5;13
CLTCL1;2
FGF22;0
FSTL3;7
DGCR2;3
RNF126;0
MNT;6
ZXDC;1
JMJD6;1
POLB;0
ST6GALNAC1;0
WIPI1;33
FRMPD1;0
GBA2;152
NDST1;2
ASNS;1
AP3M2;1
CNGB1;1
ST6GALNAC2;0
CHAT;0
PABPC1;8
TESK2;27
CFAP20;0
CSNK2A2;6
PTPN21;8
EIF2B3;0
CAMK2A;0
TCOF1;25
CDC42;7
OSBPL3;7
EPHA8;0
SLC12A3;0
RAD18;0
ATP2B1;22
TRPM5;4
NCK2;0
MAP4K4;16
MGAT4A;10
RPL31;73
WDR1;8
SNX13;1
MS4A12;0
ARHGAP10;2
RPS6KA2;3
ING3;0
VASH1;38
LMCD1;3
BUD23;120
SEL1L;10
TRIP13;0
ATP6AP1;1
TCF3;1
TRIB2;7
DAZAP1;8
MBD3;2
PRLH;0
HLTF;5
FAM50A;2
FAM3A;8
CPSF1;15
MYO3B;5
CYBRD1;0
CDH19;0
PDCD2;27
SLC6A15;1
RDH11;3
PRKACA;0
ADGRL1;77
SPP2;1
ACTN1;2
ZFYVE26;2
RPS6KA6;0
EPN2;33
PTPN18;23
LIMS2;1
ASIC4;0
SPEG;5
LNX1;242
ALDH3A2;6
TFRC;2
SREBF1;38
TRPC5;10
AFF4;30
UBE2D1;4
MPP5;140
RHOBTB1;0
SMC1A;1
HSD17B10;1
MARK2;3
HMMR;1
CHFR;0
TRHDE;19
P4HA2;16
FCGR2B;0
NFATC3;47
TRNT1;235
ACADVL;82
STK10;2
FBXW11;5
ACAP1;69
CRMP1;384
EVC;6
DERL2;49
SIDT1;3
NDE1;74
IRAG1;3
TMEM38A;0
AP1M1;8
PVR;1
XRCC1;4
SCARB1;0
CYP2W1;14
MCM2;0
MOV10L1;0
PANX2;2
SELENOO;22
TP63;0
ALPK1;62
LLGL2;2
PDE8A;13
CLCN4;1
NLE1;0
SDHA;0
SMARCE1;1
FNDC8;22
GSDMB;0
KDM5A;2
ADAM11;1
PPP2R3A;29
FERMT2;5
ABCB11;0
DHRS9;0
CD5L;4
PTGS2;0
IGF2BP2;1
MAP3K13;44
ST6GAL1;7
TBX21;0
VDAC1P1;0
FRY;0
PICALM;4
NSF;2
GLI2;0
CLASP1;1
MRPS34;7
NOTCH3;1
CLNS1A;25
PPP2R2C;0
TEAD2;5
EED;0
CDHR2;20
SNCB;0
TSG101;1
NCBP3;1
ATP2A3;2
CA12;9
MGLL;9
NTN4;2
BCS1L;50
NUAK1;0
DPP8;4
SLC24A1;150
ZNF532;7
SCARF1;0
LMAN1;2
HACD3;5
IPCEF1;0
ZZEF1;6
NOX3;0
ENO1;16
SLC12A1;3
MYDGF;5
ANO8;6
TUBE1;2
ARHGEF10L;1
TXK;0
WSCD2;0
KCNQ2;1
TACR2;15
ACTR6;4
TIPIN;1
SRI;34
EIF4G3;2
NUP37;16
SEMA3A;0
GTSE1;0
SEMA3C;1
TTC38;4
ACAT1;25
GRAMD4;9
CELSR1;9
WNT8B;0
ZNF638;15
SLC25A40;2
TIMM21;0
ADD2;0
FGF4;0
RASAL2;0
VPS9D1;1
ZNF37A;1
MARK3;5
SLC25A3;6
FNDC3B;6
FOSL2;11
CACNG5;0
CACNG4;3
FRYL;8
TMEM131;3
FSCN1;4
ACTB;24
MOCOS;0
PLD1;1
ATP12A;0
WDR62;2
DLG1;2
RAB7A;5
BCAP29;0
SEC31B;1
SART3;17
ARHGAP15;0
TUBA3D;12
PAX2;1
EXOSC7;2
KIFAP3;1
MKRN2;702
MCM6;3
REXO2;0
RBM7;128
RBMS2;48
BAZ2A;49
PTPN23;10
MLH1;8
UNG;1
FMO4;0
KLHL20;4
RGS11;7
SLC46A1;398
PLXNA2;1
SPAG5;3
ANKRD13A;142
TPD52;0
ACACB;4
TRAF4;10
PAG1;7
GPATCH1;6
ICAM3;36
NT5C2;24
MCAM;8
GPC4;1
MBNL3;30
CAMSAP3;0
RAP1GAP;6
XAB2;5
ARHGEF1;6
STXBP2;0
MAP2K7;3
NMRK2;2
DGKD;5
CTTNBP2;26
ACTL6B;0
RARB;13
TOP2B;8
TM9SF3;6
NFKB2;2
UBE2T;0
PPP1R12B;1
DNAJC10;3
GTF3C1;4
IL4R;2
USP33;0
PAK3;0
CAPN6;0
DCX;0
SNRPA;4
SPAG6;0
EXOSC5;21
DYNC1I2;12
APBB1IP;2
LRCH4;2
FAM76B;5
SIRT6;0
TYR;3
POLD3;0
ACTN2;0
CAPZB;1
GPR137B;3
NAALAD2;14
JADE1;13
SLC25A43;1
UBE2A;158
FGFR1;6
FKBP6;0
SMC1B;3
FBLN1;0
ITGA8;0
CST7;1
MAP2;2
PIAS2;2
AMPH;4
ARAF;8
MCCC1;0
LAMP3;1
FAP;0
NEBL;3
ACER3;0
UBE2K;0
PIK3C3;1
N4BP2;1
TIGAR;1
TULP3;0
SYNJ2;2
ADCY2;0
PPP2R5C;4
PMS2P1;65
RBFOX1;1
GNB1;6
HOXA9;4
EDN1;96
MLLT10;16
ZCWPW1;73
ADCYAP1R1;0
FGF20;0
P2RY10;2
ITM2A;4
NRDC;43
VDAC3;0
PCM1;5
TNRC6C;29
CBFA2T2;5
BRINP1;0
ITCH;4
PKD2L2;216
TP53INP2;4
SDF4;6
MYH7B;60
BPIFB2;3
TP73;17
TOLLIP;0
UBE2D4;43
CLUL1;28
RUNX1T1;4
CDH17;1
THOC1;22
FKBP7;2
OSBPL6;1
SLC1A3;0
XRCC5;7
LXN;101
SP140;6
MKNK1;0
TNS1;26
REXO1;7
SAR1A;1
CDC14A;11
RAPGEF3;13
CEACAM1;14
SENP1;2
DUSP13;0
CIC;2
LIPE;23
FDFT1;8
PAFAH1B3;0
OPHN1;0
AFM;0
KIF22;11
SCGN;10
CARMIL1;31
PGM1;27
DDX1;5
DNM2;401
EPB41L2;17
RIMS1;0
MOXD1;0
STX7;4
RABL2B;5
KEAP1;4
DDX43;6
PTPRH;1
DCT;4
SLC35C2;0
CRYBG3;92
EPHA6;1
SCTR;159
RFX3;1
RIF1;24
RAB21;6
SLC4A4;7
SMARCA2;6
RDH8;1
SESN1;9
MID2;18
DNAAF6;0
COL5A3;0
SRCAP;1
PUM3;4
CPB2;8
CHRNA3;4
KCNN2;0
CNOT4;1
PSEN1;0
CPOX;0
CLDND1;0
MOK;3
HSP90AA1;36
RBL1;0
DLGAP4;27
IGSF9B;1
CFHR2;0
CROCCP3;25
NDC80;1
AP4E1;1
RSBN1;2
MAGI3;6
CXCL2;0
AFP;0
COL4A4;25
TCF7;139
OSTM1;1
CDH7;0
IMPG2;1
PCNP;5
EXD2;1
ARG2;945
MEF2C;8
PTPRC;4
CACNA1S;0
PKP1;0
UBA5;62
STK17B;5
CDC14B;201
ZNF510;6
LRP2;16
ZNF506;61
JMJD4;212
DUSP12;4
AACS;1
DELE1;1
SLC13A1;3
CADPS2;0
PCDHB4;0
PCDHA6;0
PCDHGA2;0
HSPB11;0
PHLPP1;0
ATP8B1;158
IL12RB2;46
SMARCD3;61
WDR70;3
FYB1;4
MPP4;0
STRADB;129
BZW1;2
PGR;2
C1QTNF3;0
ME2;2
C5orf22;0
CCNT2;11
FAM135A;1
COL19A1;0
EPB41L3;8
COBLL1;0
DLG3;3
KCNK2;0
SERTAD4;0
TRAF5;1
MRPL22;0
GEMIN5;1
OPRK1;2
NFE2L1;3
SEMA5B;1
GSK3B;6
ITGB5;2
ERC1;6
XPO1;60
LINC01587;0
RNF13;6
TRPM3;15
PALB2;0
DOP1A;328
LYRM2;299
BCKDHB;0
KAT6A;5
TUT7;13
ULK2;4
GRHL2;0
TNPO1;11
PLOD1;4
P2RX5;1
ITGAE;13
DIS3;57
PIBF1;0
TDRD3;2
AC000061.1;0
NUFIP1;1
PDS5B;5
OXCT1;5
RRAGB;0
EPYC;0
CYLD;5
SLC27A5;99
ZNF324;12
ZNF671;14
ZNF416;0
ZNF586;7
ZNF446;25
ZNF264;4
RPS5;8
FAT1;5
YTHDC1;8
CHMP2B;0
SMAP2;0
PPIE;3
ZMPSTE24;1
STARD7;6
NOA1;6
REST;110
HAL;0
SSH1;9
GSTP1;0
APLP2;14
FAM234B;1
SLCO1A2;0
WBP11;1
EIF3I;106
NKAIN1;0
COL16A1;3
TXLNA;19
APOB;0
NCOA1;5
AGBL5;798
EFR3B;6
KIF3C;0
RAB10;1
GCKR;2
HADHA;19
MAPRE3;3
CAD;0
CD59;5
CD82;0
BCORL1;0
ATRX;9
AK6;0
FCN1;1
MYNN;3
MECOM;0
SCAMP1;12
PREP;4
HACE1;0
SEH1L;1
WDR47;0
WDFY1;4
OVGP1;0
SLC25A24;10
MAP3K4;0
PILRA;0
IGSF9;0
ABCB1;1
ZNF213;13
AKR1B1;5
CPNE3;1
RRN3;4
CTTN;15
WNT11;1
MTIF2;2
DDHD2;91
TTC39A;16
EPS15;3
ORC1;0
MGST2;16
CHERP;56
ATG16L1;0
USP40;8
POMGNT1;35
RAD54L;340
MAST2;36
DNAJA1;10
B4GALT1;3
CHMP5;2
NFX1;6
AQP6;4
DIMT1;474
IPO11;0
FOLH1;0
EIF2AK1;316
NME8;0
EPDR1;0
SNX10;15
SEPHS1;0
MRPL28;0
HBQ1;0
ITPKC;0
CEACAM6;0
FAT2;79
RBM22;0
TMED2;14
ERO1B;122
ZFAND6;3
HSD17B2;0
TXLNG;8
PPEF1;0
LAT2;12
HUWE1;0
ZW10;0
ALG9;0
MYBPC2;0
NOX4;0
ACOX3;0
MTMR2;323
PPP1R15A;2
HSD17B14;0
TRIP6;3
ACHE;1
FTL;11
SRRT;28
BAX;0
NLK;0
PIGS;0
ADAMTS2;2
TMPRSS11E;0
ATXN7L3;3
PGS1;1
PSMC5;17
UIMC1;4
CETP;43
MMP2;0
MT3;0
LPCAT2;0
GNAO1;0
OGFOD1;40
SH3BP2;3
NOP14;87
ADD1;8
L2HGDH;4
TXNDC16;4
RTRAF;315
NID2;58
GMCL1;2
SF3B2;9
KLHL42;1
GNAS;14
DNM1L;125
PTHLH;1
PHACTR3;5
ERGIC2;19
TFAP2C;0
AURKA;0
CASS4;0
PIR;0
AAMDC;37
RFX2;4
METTL2A;0
SULT2B1;1
ALG6;1
CNOT3;24
GP6;5
PTPN4;7
DDX18;5
KHSRP;0
GNA11;3
ASAP3;4
EDEM2;0
DNMT3B;1
REM1;0
TPX2;0
FER1L4;4
PDRG1;0
EPB41L1;0
