symbol;value
GOPC;1067
ROS1;0
USP28;776
HDAC9;324
TSPAN17;1423
NOP16;1510
CC2D2A;633
RRM2B;2577
ZNF800;1060
TNFRSF17;41
SNX29;3062
LMO3;9
MRPS10;1013
GUCA1A;0
RSF1;1510
VPS13D;2076
CELF2;1743
FAM120A;6527
R3HDM1;880
COL9A2;56
KITLG;801
ERCC8;443
ADAMTS6;24
H6PD;4466
VAMP3;3906
PER3;1315
UTS2;276
TNFRSF9;1413
EPN3;4
LTBP1;307
RCN1;1389
ELN;298
RFC2;922
ARID1B;2144
CLPTM1L;6866
NEDD4L;2621
FOXP3;121
PPP1R3F;127
HEXB;5146
PTCD2;407
NEXMIF;1
JKAMP;1515
3,00 DKK;1294
ARHGEF5;313
NFE2L3;2369
MCUR1;1233
LIMA1;3331
LETMD1;3454
SLC4A8;74
LAMC3;190
PTGER3;959
TNIP3;208
MAPK9;1550
COL23A1;7021
BCAR1;1646
FAM160A2;934
HERPUD1;6950
HOMER3;316
RAD51;72
POLQ;54
PIK3CB;1891
CYBA;3351
THOC3;133
HEBP2;1254
MPHOSPH9;630
PLEKHA5;1460
PRSS8;443
SIKE1;1003
RRP12;582
FNIP2;2262
MSMO1;1133
TTC17;2040
ALX4;11
FSTL4;4
FOXN3;3801
METTL24;183
AKR7A2;2372
MRTO4;1211
NNAT;10
USE1;544
MCF2L2;229
NRIP2;500
LAMA3;329
AP5M1;1149
ANAPC4;678
KCNQ1;404
TRAPPC3;1406
THRAP3;3656
PHPT1;1596
ENTPD2;153
LY75;239
ARID4B;1347
OPN3;868
SDCCAG8;681
PTPRN;121
HHAT;306
KIF1B;2325
FOXC1;239
TBC1D22A;1198
SYNE2;5134
PLEKHH1;507
ATP9A;947
SPO11;0
CBLN4;96
CHRDL2;15
FAM168A;2525
RELT;276
GALC;2751
NOP58;938
SZRD1;4784
KCNH2;7
CUL1;2736
FAM114A2;1089
CYFIP2;6896
TAB2;2988
GINM1;2044
EIF2AK2;2215
USP36;1401
KMT2C;2815
MCOLN3;5
CCDC85A;65
PUM2;3703
MRPL43;1822
ITIH4;4
ITIH1;1
HPF1;510
ZFR;3377
ZNF280C;105
NPFFR2;0
PHF21B;3
TRAF1;1496
RC3H2;2061
IL17RB;835
TRAF3IP2;2287
GYG2;0
DCBLD2;621
SERPINB3;0
SOAT1;2377
PKP2;680
MSH4;9
F7;0
GDI2;11671
PRDM1;2004
ATG5;1150
TMCC3;1321
PITHD1;973
MTA3;818
USP13;176
ATP11B;1481
LAMC2;268
CDK14;2644
SEC61A1;7104
PPP1R12A;1938
RASGRF1;20
CAMK2B;5
CROCC;258
POLR3E;735
ATP2B4;3275
ZC3H11A;1
RIOK2;1050
YIPF1;822
NDC1;707
DGKG;70
FLYWCH1;799
UNKL;461
TBXAS1;1202
PARP12;2107
ALDH18A1;2283
TARBP1;981
GATB;685
MXD1;666
CDK17;1093
DNAJC25;220
SLC2A3;1740
PSD;139
CTDP1;607
YBX3;5404
STYK1;6
WNK1;5367
RPS17P5;0
CCAR1;1397
OGFR;1775
GNA15;228
CREB3L3;254
PIGV;766
PTPRU;652
SNRNP40;1000
RIMBP2;3
COL11A1;2
QSER1;1404
MPC1;1234
ACAA1;1476
BCAT1;589
HDAC7;2365
LZTS1;733
PRDM6;10
WNT8A;1
SPAG4;1563
NCKAP1;4808
MRPS35;1987
GUCY1B1;2723
SFSWAP;898
TNK2;720
MON2;1599
CDH3;16
ARSF;33
GPBP1;3498
DGAT2;55
ZNF112;143
CS;3834
LTK;17
MRPS24;3
ELMO2;1418
WAPL;2302
VMP1;4531
APPBP2;1569
POLD1;332
SEZ6;0
EIF4B;21073
SLC6A16;22
BICRA;261
SPHK2;330
RPL18;21104
CA11;220
ISOC2;1753
U2AF2;3044
EPN1;4261
MED29;2424
AHRR;0
GSC2;0
ZNF275;692
MTMR1;1031
GPC1;562
ADCK1;140
HAGH;1051
RNF4;1990
CASP8;1076
LIMCH1;2505
INTS13;1024
TM7SF3;5572
DLX3;1
SPA17;267
TSPAN32;83
CCN5;2
DMRT3;1
ST3GAL6;236
ATP2C2;5
NGFR;480
CDON;1610
TAF2;1011
HIPK2;25832
TNPO3;2091
BORCS8-MEF2B;0
RFXANK;1218
TMEM161A;538
LPAR2;207
CTSA;5917
SUGP2;1592
SLC12A2;967
SNX24;734
EYA2;73
CNN2;2021
ABCA7;327
SNCAIP;53
DDX20;637
BTBD1;2081
FAR2;631
BCAS1;4
POU1F1;0
CHI3L2;149
SBNO2;1651
PMS1;417
HMG20B;1370
CALCRL;4359
TAF11;840
ANKS1A;1006
AP3D1;3905
ZNF76;962
SLC9A3R2;3280
NTHL1;166
UHRF1BP1;1410
GNAI3;2614
IPO5;5564
OAT;1319
WDR3;1253
PKN2;1943
WDR18;690
TRAM2;805
NTN1;54
GLP2R;1
MCM10;80
DGKA;503
ERBB3;5279
ROPN1;0
ANKRD44;1084
KARS1;5195
ADAT1;555
PDIA5;2140
TBC1D22B;789
NDUFB4;2635
SPEN;2637
MYLK;5121
ZC3H15;1730
MAP2K4;987
PACC1;303
SNAP91;0
SLK;2856
CYB5R4;900
COL17A1;6
GSTO2;206
SEC61A2;291
PRKCQ;233
TLE2;280
ASB1;628
FAM107B;5471
ME1;508
TBC1D1;3139
CDK13;1926
MTHFD2;803
SLC9A7;689
FOXJ2;969
YBX1;10023
PDE4A;359
PPP2R5A;2098
CTNNA2;2
