symbol;value
CACNB1;1
EVI5;2
STOML1;4
PKM;58
DHX29;24
DNTTIP2;28
METTL22;1
TP53BP1;1005
TRO;6
RRP15;15
RHOA;135
DHX8;321
PMS2P4;3
PRKCZ;76
ZFY;0
IARS2;71
SYT1;6
NAV3;2
IDH3G;25
ROGDI;87
PDZD4;40
ATP2B3;21
ROCK1;12
CBFB;5
PDK3;3
HYAL2;13
HDAC4;3
RASSF1;12
FGFR3;53
IFI35;19
HEATR6;4
COASY;13
PLEKHH3;17
MEF2A;32
OTUD5;15
TFE3;5
TBC1D25;2
ACSL4;10
INPP5A;26
GPKOW;1
GRIPAP1;9
FTSJ1;0
PRR11;3
REEP1;98
ATP11A;12
POLR1A;16
LAPTM4A;5
TTC7A;58
IP6K2;13
STON1-GTF2A1L;0
SRBD1;9
KIF2A;708
RASGRP2;5
PSME4;16
IFT80;392
SIRT2;3
ERLEC1;30
PPP2R5B;2
PYGM;6
PAGE1;0
PITX1;53
TRPC7;10
MAST4;29
ADGRF5;0
SDK2;9
ADAM7;2
NUP133;6
NUCKS1;107
VPS35;13
DNAJA2;9
BCL3;13
KCNAB2;65
ABCC9;0
GAL;0
CLEC2D;0
FUNDC1;3
MAOB;0
RORA;268
DRD4;4
TGFBR3;3
PLA2G10;40
HES2;4
ATP1B3;9
NEDD4;5
PIGB;197
MAPK6;30
GNB5;21
RAB27A;2
HDHD5;12
UFD1;298
LRP6;4
GUCY2C;126
SCT;3
PHRF1;64
ELP1;5
NUCB2;18
PFN2;47
PTPN3;4
SPTB;1068
DAPP1;18
FGF10;1
SLC44A1;8
TMEM260;1
SMG6;15
EXOC5;19
CLTCL1;19
FGF22;12
FSTL3;15
DGCR2;8
RNF126;3
MNT;35
ZXDC;3
JMJD6;5
POLB;1
ST6GALNAC1;4
WIPI1;31
FRMPD1;3
GBA2;265
NDST1;5
ASNS;3
AP3M2;7
CNGB1;45
ST6GALNAC2;37
CHAT;0
PABPC1;44
TESK2;625
CFAP20;2
CSNK2A2;9
PTPN21;46
EIF2B3;3
CAMK2A;9
TCOF1;65
CDC42;8
OSBPL3;17
EPHA8;0
SLC12A3;2
RAD18;3
ATP2B1;42
TRPM5;28
NCK2;0
MAP4K4;24
MGAT4A;28
RPL31;151
WDR1;12
SNX13;3
MS4A12;0
ARHGAP10;0
RPS6KA2;15
ING3;2
VASH1;132
LMCD1;59
BUD23;360
SEL1L;5
TRIP13;38
ATP6AP1;17
TCF3;18
TRIB2;34
DAZAP1;17
MBD3;4
PRLH;0
HLTF;24
FAM50A;21
FAM3A;65
CPSF1;141
MYO3B;1
CYBRD1;2
CDH19;0
PDCD2;141
SLC6A15;0
RDH11;16
PRKACA;33
ADGRL1;135
SPP2;0
ACTN1;46
ZFYVE26;20
RPS6KA6;5
EPN2;35
PTPN18;99
LIMS2;0
ASIC4;42
SPEG;12
LNX1;854
ALDH3A2;12
TFRC;7
SREBF1;244
TRPC5;88
AFF4;86
UBE2D1;3
MPP5;624
RHOBTB1;4
SMC1A;13
HSD17B10;8
MARK2;16
HMMR;16
CHFR;9
TRHDE;0
P4HA2;33
FCGR2B;0
NFATC3;519
TRNT1;135
ACADVL;591
STK10;7
FBXW11;0
ACAP1;203
CRMP1;553
EVC;6
DERL2;145
SIDT1;94
NDE1;39
IRAG1;37
TMEM38A;3
AP1M1;10
PVR;12
XRCC1;3
SCARB1;3
CYP2W1;40
MCM2;27
MOV10L1;5
PANX2;1
SELENOO;45
TP63;8
ALPK1;96
LLGL2;12
PDE8A;17
CLCN4;0
NLE1;3
SDHA;3
SMARCE1;6
FNDC8;156
GSDMB;0
KDM5A;12
ADAM11;29
PPP2R3A;287
FERMT2;20
ABCB11;2
DHRS9;6
CD5L;0
PTGS2;7
IGF2BP2;5
MAP3K13;1373
ST6GAL1;151
