symbol;value
OGFR;300
GNA15;56
CREB3L3;0
PIGV;424
PTPRU;166
SNRNP40;631
RIMBP2;4
COL11A1;8095
QSER1;1292
MPC1;292
ACAA1;1385
BCAT1;289
HDAC7;1010
LZTS1;204
PRDM6;104
WNT8A;0
SPAG4;31
NCKAP1;3771
MRPS35;1277
GUCY1B1;220
SFSWAP;587
TNK2;663
MON2;1129
CDH3;109
ARSF;0
GPBP1;1881
DGAT2;1837
ZNF112;178
CS;2603
LTK;3
MRPS24;2
ELMO2;730
WAPL;1734
VMP1;4485
APPBP2;1042
POLD1;84
SEZ6;1
EIF4B;7005
SLC6A16;18
BICRA;216
SPHK2;160
RPL18;4824
CA11;23
ISOC2;329
U2AF2;1711
EPN1;1113
MED29;1171
AHRR;1
GSC2;0
ZNF275;447
MTMR1;698
GPC1;674
ADCK1;124
HAGH;281
RNF4;1003
CASP8;541
LIMCH1;2675
INTS13;389
TM7SF3;1082
DLX3;135
SPA17;347
TSPAN32;2
CCN5;416
DMRT3;3
ST3GAL6;138
ATP2C2;25
NGFR;197
CDON;394
TAF2;639
HIPK2;778
TNPO3;687
BORCS8-MEF2B;0
RFXANK;464
TMEM161A;175
LPAR2;133
CTSA;1129
SUGP2;1179
SLC12A2;4296
SNX24;251
EYA2;90
CNN2;2687
ABCA7;190
SNCAIP;31
DDX20;373
BTBD1;1293
FAR2;320
BCAS1;126
POU1F1;0
CHI3L2;124
SBNO2;1150
PMS1;277
HMG20B;1135
CALCRL;1565
TAF11;408
ANKS1A;669
AP3D1;2277
ZNF76;290
SLC9A3R2;1183
NTHL1;106
UHRF1BP1;668
GNAI3;2115
IPO5;2195
OAT;2300
WDR3;714
PKN2;1267
WDR18;246
TRAM2;1323
NTN1;128
GLP2R;12
MCM10;8
DGKA;268
ERBB3;8162
ROPN1;0
ANKRD44;165
KARS1;1242
ADAT1;266
PDIA5;337
TBC1D22B;227
NDUFB4;1721
SPEN;1848
MYLK;1581
ZC3H15;1279
MAP2K4;421
PACC1;124
SNAP91;4
SLK;1866
CYB5R4;251
COL17A1;231
GSTO2;321
SEC61A2;283
PRKCQ;10
TLE2;333
ASB1;200
FAM107B;1405
ME1;205
TBC1D1;498
CDK13;1200
MTHFD2;998
SLC9A7;1326
FOXJ2;687
YBX1;2266
PDE4A;489
PPP2R5A;1341
CTNNA2;101
ELAVL1;1121
TIE1;377
DIP2B;2111
SMARCD1;1024
KDM4A;701
NFYC;658
ZMYND12;29
SLC9A3;10
NGEF;24
ASPM;34
CD84;107
ELOVL1;1030
SPI1;78
POLR1H;197
MPPED2;38
CLDN18;1
ZBTB11;719
ATXN3;368
GOLGA5;1342
FGFR2;1019
LRRC40;348
ISOC1;906
EML1;246
TRMT11;100
THUMPD1;2083
MSANTD3;151
KIF26A;42
ATG2B;978
ARFGEF1;2303
ACSM2B;0
ZFAT;133
MTFR1;634
STAG3;35
FECH;596
MYO9A;1483
DDX3Y;0
PFKP;218
IDI1;913
SP100;1181
KLF6;2978
PLPP1;1217
NEO1;1660
TRAM1;3583
PHKA1;291
TNFRSF1A;1683
CACNB1;39
EVI5;406
STOML1;127
PKM;17271
DHX29;1988
DNTTIP2;1100
METTL22;150
TP53BP1;1694
TRO;175
RRP15;257
RHOA;8751
DHX8;1211
PMS2P4;29
PRKCZ;350
ZFY;2
IARS2;2019
SYT1;13
NAV3;154
IDH3G;535
ROGDI;185
PDZD4;21
ATP2B3;0
ROCK1;2595
CBFB;467
PDK3;1186
HYAL2;550
HDAC4;203
RASSF1;364
FGFR3;129
IFI35;369
HEATR6;504
COASY;1388
PLEKHH3;575
MEF2A;1470
OTUD5;894
TFE3;914
TBC1D25;237
ACSL4;751
INPP5A;459
GPKOW;326
GRIPAP1;555
FTSJ1;486
PRR11;39
REEP1;750
ATP11A;225
POLR1A;1079
LAPTM4A;6842
TTC7A;212
IP6K2;1320
STON1-GTF2A1L;1
SRBD1;535
KIF2A;703
RASGRP2;48
PSME4;2011
IFT80;193
SIRT2;546
ERLEC1;1839
PPP2R5B;145
PYGM;38
PAGE1;0
PITX1;127
TRPC7;0
MAST4;1488
ADGRF5;1124
SDK2;38
ADAM7;0
NUP133;984
NUCKS1;4898
VPS35;1844
DNAJA2;1003
BCL3;573
KCNAB2;154
ABCC9;498
GAL;1
CLEC2D;166
FUNDC1;294
MAOB;373
RORA;404
DRD4;15
TGFBR3;1081
PLA2G10;5
HES2;12
ATP1B3;922
NEDD4;517
PIGB;392
MAPK6;722
GNB5;268
RAB27A;318
HDHD5;314
UFD1;646
LRP6;1049
GUCY2C;5
SCT;12
PHRF1;909
ELP1;942
NUCB2;3527
PFN2;2653
PTPN3;665
SPTB;116
DAPP1;72
FGF10;127
SLC44A1;5536
TMEM260;376
SMG6;689
EXOC5;1153
CLTCL1;66
FGF22;0
FSTL3;278
DGCR2;2054
RNF126;209
MNT;329
ZXDC;496
JMJD6;197
POLB;184
ST6GALNAC1;10
WIPI1;608
FRMPD1;12
GBA2;612
NDST1;4823
ASNS;1
AP3M2;227
CNGB1;0
ST6GALNAC2;180
CHAT;0
PABPC1;10856
TESK2;82
CFAP20;225
CSNK2A2;695
PTPN21;501
EIF2B3;421
CAMK2A;12
TCOF1;480
CDC42;4874
OSBPL3;179
EPHA8;0
SLC12A3;0
RAD18;408
ATP2B1;1249
TRPM5;0
NCK2;335
MAP4K4;1556
MGAT4A;1279
RPL31;5229
WDR1;3501
SNX13;1093
MS4A12;0
ARHGAP10;230
RPS6KA2;795
ING3;124
VASH1;313
LMCD1;1186
BUD23;755
SEL1L;5433
TRIP13;25
ATP6AP1;3483
TCF3;746
TRIB2;457
DAZAP1;880
MBD3;327
PRLH;0
HLTF;1115
FAM50A;566
FAM3A;264
CPSF1;595
MYO3B;9
CYBRD1;12743
CDH19;9
PDCD2;446
SLC6A15;2
RDH11;1112
PRKACA;1872
ADGRL1;771
SPP2;0
ACTN1;4086
ZFYVE26;933
RPS6KA6;112
EPN2;613
PTPN18;793
LIMS2;338
ASIC4;1
SPEG;60
LNX1;517
ALDH3A2;1549
TFRC;2726
SREBF1;2098
TRPC5;0
AFF4;3706
UBE2D1;300
MPP5;901
RHOBTB1;791
SMC1A;1658
HSD17B10;673
MARK2;555
HMMR;21
CHFR;264
TRHDE;85
P4HA2;625
FCGR2B;48
NFATC3;570
TRNT1;486
ACADVL;1400
STK10;382
FBXW11;1056
ACAP1;58
CRMP1;154
EVC;445
DERL2;485
SIDT1;1117
NDE1;626
IRAG1;405
TMEM38A;70
AP1M1;601
PVR;143
XRCC1;372
SCARB1;681
CYP2W1;0
MCM2;222
MOV10L1;7
PANX2;4
SELENOO;206
TP63;57
ALPK1;392
LLGL2;785
PDE8A;431
CLCN4;81
NLE1;123
SDHA;57
SMARCE1;343
FNDC8;10
GSDMB;64
KDM5A;1483
ADAM11;4
PPP2R3A;1078
FERMT2;1597
ABCB11;33
DHRS9;12
CD5L;0
PTGS2;103
IGF2BP2;19
MAP3K13;669
ST6GAL1;1764
TBX21;1
VDAC1P1;1
FRY;681
PICALM;3179
NSF;971
GLI2;88
CLASP1;1027
MRPS34;740
NOTCH3;3477
CLNS1A;1107
PPP2R2C;176
TEAD2;633
EED;246
CDHR2;3
SNCB;1
TSG101;1477
NCBP3;571
ATP2A3;325
CA12;4828
MGLL;990
NTN4;2720
BCS1L;263
NUAK1;735
DPP8;973
SLC24A1;361
ZNF532;1185
SCARF1;106
LMAN1;3902
HACD3;3818
IPCEF1;11
ZZEF1;859
NOX3;0
ENO1;9002
SLC12A1;2
MYDGF;844
ANO8;169
TUBE1;141
ARHGEF10L;466
TXK;3
WSCD2;4
KCNQ2;0
TACR2;8
ACTR6;408
TIPIN;51
SRI;1312
EIF4G3;1935
NUP37;247
SEMA3A;82
GTSE1;17
SEMA3C;3371
TTC38;374
ACAT1;951
GRAMD4;619
CELSR1;3890
WNT8B;1
ZNF638;2713
SLC25A40;323
TIMM21;278
ADD2;43
FGF4;0
RASAL2;643
VPS9D1;110
ZNF37A;994
MARK3;1029
SLC25A3;3909
FNDC3B;2077
FOSL2;2261
CACNG5;0
CACNG4;2049
FRYL;899
TMEM131;1205
FSCN1;513
ACTB;55116
MOCOS;122
PLD1;175
ATP12A;0
WDR62;23
DLG1;1541
RAB7A;3261
BCAP29;9
SEC31B;66
SART3;864
ARHGAP15;59
TUBA3D;1
PAX2;7
EXOSC7;181
KIFAP3;867
MKRN2;1226
MCM6;328
REXO2;363
RBM7;340
RBMS2;822
BAZ2A;2129
PTPN23;986
MLH1;866
UNG;505
FMO4;115
KLHL20;356
RGS11;60
SLC46A1;396
PLXNA2;377
SPAG5;61
ANKRD13A;861
TPD52;3360
ACACB;2347
TRAF4;1063
PAG1;146
GPATCH1;241
ICAM3;207
NT5C2;561
MCAM;1914
GPC4;1681
MBNL3;106
CAMSAP3;381
RAP1GAP;628
XAB2;727
ARHGEF1;674
STXBP2;288
MAP2K7;370
NMRK2;0
DGKD;1097
CTTNBP2;67
ACTL6B;0
RARB;55
TOP2B;4581
TM9SF3;5386
NFKB2;408
UBE2T;43
PPP1R12B;769
DNAJC10;2495
GTF3C1;1791
IL4R;470
USP33;2728
PAK3;26
CAPN6;71
DCX;2
SNRPA;521
SPAG6;0
EXOSC5;123
DYNC1I2;2222
APBB1IP;172
LRCH4;58
FAM76B;340
SIRT6;138
TYR;1
POLD3;360
ACTN2;1
CAPZB;2888
GPR137B;375
NAALAD2;65
JADE1;688
SLC25A43;219
UBE2A;1117
FGFR1;1181
FKBP6;0
SMC1B;3
FBLN1;3871
ITGA8;185
CST7;34
MAP2;114
PIAS2;405
AMPH;74
ARAF;818
MCCC1;398
LAMP3;7
FAP;1379
NEBL;6558
ACER3;311
UBE2K;1626
PIK3C3;770
N4BP2;253
TIGAR;130
TULP3;311
SYNJ2;471
ADCY2;177
PPP2R5C;1887
