gene;value
POLR2B;6807
FAM214A;736
ARAP2;509
TPR;3696
CP;5525
KATNIP;890
DTNBP1;823
XK;262
ANO2;390
C12orf4;362
SCML1;219
WWC3;1248
ARHGAP6;78
FAM184B;268
MAP4;15870
GOPC;687
ROS1;2
USP28;863
HDAC9;661
TSPAN17;1002
NOP16;2341
CC2D2A;702
RRM2B;1270
ZNF800;723
TNFRSF17;0
SNX29;1024
LMO3;24
MRPS10;1782
GUCA1A;0
RSF1;1855
VPS13D;2189
CELF2;606
FAM120A;13673
R3HDM1;2334
COL9A2;232
KITLG;255
ERCC8;244
ADAMTS6;35
H6PD;3468
VAMP3;3740
PER3;2627
UTS2;495
TNFRSF9;48
EPN3;1476
LTBP1;1780
RCN1;1905
ELN;513
RFC2;1232
ARID1B;2489
CLPTM1L;4553
NEDD4L;2027
FOXP3;116
PPP1R3F;348
HEXB;2561
PTCD2;331
NEXMIF;17
JKAMP;1024
3,00 DKK;1511
ARHGEF5;796
NFE2L3;444
MCUR1;2781
LIMA1;1002
LETMD1;2081
SLC4A8;264
LAMC3;105
PTGER3;247
TNIP3;16
MAPK9;1082
COL23A1;178
BCAR1;2493
FAM160A2;1172
HERPUD1;1967
HOMER3;847
RAD51;368
POLQ;241
PIK3CB;1372
CYBA;14437
THOC3;463
HEBP2;1468
MPHOSPH9;707
PLEKHA5;822
PRSS8;3145
SIKE1;811
RRP12;2041
FNIP2;331
MSMO1;1403
TTC17;2652
ALX4;7
FSTL4;14
FOXN3;1735
METTL24;47
AKR7A2;2847
MRTO4;2354
NNAT;54
USE1;1026
MCF2L2;116
NRIP2;206
LAMA3;2012
AP5M1;1080
ANAPC4;921
KCNQ1;312
TRAPPC3;2747
THRAP3;5618
PHPT1;3718
ENTPD2;385
LY75;232
ARID4B;1147
OPN3;561
SDCCAG8;449
PTPRN;51
HHAT;168
KIF1B;4028
FOXC1;233
TBC1D22A;3053
SYNE2;1637
PLEKHH1;317
ATP9A;5038
SPO11;0
CBLN4;16
CHRDL2;12
FAM168A;4213
RELT;397
GALC;844
NOP58;1413
SZRD1;8596
KCNH2;1380
CUL1;3039
FAM114A2;907
CYFIP2;1051
TAB2;2717
GINM1;1214
EIF2AK2;3731
USP36;2698
KMT2C;6555
MCOLN3;290
CCDC85A;209
PUM2;3501
MRPL43;2272
ITIH4;1
ITIH1;1
HPF1;406
ZFR;3903
ZNF280C;169
NPFFR2;1
PHF21B;6
TRAF1;300
RC3H2;2717
IL17RB;230
TRAF3IP2;459
GYG2;341
DCBLD2;2460
SERPINB3;8
SOAT1;780
PKP2;1903
MSH4;1
F7;21
GDI2;12612
PRDM1;764
ATG5;879
TMCC3;746
PITHD1;1151
MTA3;1622
USP13;809
ATP11B;1655
LAMC2;7018
CDK14;1831
SEC61A1;13596
PPP1R12A;1644
RASGRF1;223
CAMK2B;240
CROCC;834
POLR3E;724
ATP2B4;9275
ZC3H11A;3
