gene;value
AL360091.2;0
AL772161.1;3
AC010974.1;1
FAM197Y3;0
HSPD1P6;6
CDC42-IT1;6
LRRC37A15P;2
RPL4P6;6
AC009947.1;0
AL162231.2;57
RPL10P6;120
MTAPP2;0
STK24P1;2
AC139143.1;1
HSPE1P28;3
PRRT3-AS1;98
AC009237.4;0
AC006059.1;52
VN1R96P;0
AC104389.3;0
KRT16P5;0
AC108025.1;7
TMEM254-AS1;111
AL669831.4;7
AC022535.1;0
ME2P1;2
TCERG1L-AS1;0
TRBV5-4;32
AL606490.3;0
TUBB3P2;0
LINC02028;83
AC018712.1;0
AL354793.1;0
SNRPCP15;0
AL022316.1;7
LINC02643;2
H3P11;0
AL157398.1;0
AC138207.1;117
AGBL4-AS1;0
TPRG1-AS2;11
RPS3AP11;2
AC092569.1;0
AC123900.1;0
AL008723.1;0
AL445070.1;0
ECEL1P3;0
DLEC1P1;0
ACBD6;1656
EEF1A1P39;0
FGF12-AS2;10
MTND2P39;0
LINC02641;3
AC006457.1;0
LINC01721;6
AC004832.2;0
LINC02812;1
NPAS2-AS1;160
LINC01075;0
SEPHS1P4;2
AL158071.1;0
HOXB-AS1;160
AL021707.3;207
AF274573.1;0
AIDAP1;4
CEP250-AS1;42
LINC00443;4
ATP5MC1P1;1
MTND1P28;0
BX119904.1;0
AC004854.1;0
AL162395.1;0
CT45A11P;0
AL122010.1;31
MAS1LP1;0
AURKAP2;1
RPL35AP24;0
RPL30P16;0
HNRNPA1P28;5
RPL22P18;3
AC090957.1;1
LINC01790;0
LINC01149;1
AL451074.3;2
LINC01433;1
OR4F3;1
RPL12P49;1
RNF10P1;0
CNOT6LP1;8
SMYD3-IT1;0
C9orf147;65
AC246680.1;13
AL139109.1;0
AL158156.1;2
AC008267.2;0
AC005518.1;0
IFITM3P4;15
AC073387.1;0
AC000081.1;0
DDX43P3;0
AC007952.3;0
RPL37P4;0
AL603825.1;7
ATP6V0CP1;0
AL450405.1;593
Z99714.1;4
FTH1P5;41
AL359382.1;0
RPL4P5;118
IFNNP1;0
AP000688.1;949
OR8V1P;0
FTLP18;0
LINC01840;1
HSPB1P2;31
CIBAR1P2;0
AL157384.1;2
ATXN8OS;1
PHBP9;8
MTND5P14;0
AL121829.1;0
SIAH1P1;0
H3P1;8
AC010163.2;0
FMO7P;1
AF240627.1;0
AL162582.1;0
GNA13P1;0
BX284668.3;0
RPL34P19;1
AC244636.1;0
FKBP1AP3;0
RAD23BP2;0
BX088651.3;0
SPATA31C1;8
HNRNPH3P1;0
Z98742.1;0
RPS24P21;0
LINC01753;0
PHBP4;1
MTND2P4;0
FGFR1OP2P1;0
NFE4;0
AC005208.1;0
AL136322.1;0
OR52J2P;0
LINC02603;49
XXYLT1-AS2;0
HERC2P4;36
SSU72P8;0
LINC02525;8
AC023141.5;0
BRI3P3;0
PGAM1P3;2
SERBP1P4;0
AL162388.1;0
HNRNPA1P59;7
RPL7P61;0
RPS12P24;0
AL160275.1;1
AC092807.1;0
AC013472.1;0
AL445928.1;0
AL358781.2;133
ARMC2-AS1;0
AC078817.1;40
NAALADL2-AS3;0
LINC02370;5
GTF2IP23;8
AL590068.2;0
SNRPEP11;0
STARD13-IT1;0
OR5H6;0
MTND3P4;0
AL353743.2;21
CICP6;0
AC004980.3;16
BANF1P2;2
OR6C5P;0
AL121718.1;0
AC010422.1;5
TOMM20P4;13
SLC25A53P1;2
HCG24;0
ELOVL2-AS1;0
FEZF1-AS1;1
LINC01284;0
XRCC6P3;1
TTLL1-AS1;70
BEND7P1;0
MTCO2P27;0
AL136320.1;0
LINC00159;2
LINC01734;0
AL359921.1;16
HMGN1P33;0
MTCO1P42;1
AL359893.1;0
HMGN2P3;13
AL160004.2;0
AC004160.1;35
DNAJB5P1;0
EXOSC10-AS1;98
MTND4P19;0
AC015818.1;0
FANCD2P2;4
AC018892.1;0
CT47A8;0
RPL35AP3;0
AL035250.2;0
RPS21P2;0
AC009474.1;3
NCAPD2P1;1
SPDYE21;11
TPI1P2;40
DDX10P2;0
VN1R32P;0
ACTG1P23;2
RPL4P3;39
AL451129.1;0
DSCR9;23
FAM41C;3
RPL23AP52;1
KARS1P2;0
GOLGA6L5P;15
GSTA11P;0
MEMO1P4;0
ELOCP7;0
AP000146.1;0
AL136376.1;0
AC009245.1;100
RPSAP25;1
AC012507.1;2
AC104057.1;0
AL118508.1;0
LINC01048;0
RPSAP23;0
AC004835.1;0
AC092667.1;2
ANAPC1P3;0
SPTLC1P1;3
HINT2P1;0
RBBP8P1;1
LINC01747;4
LINC01972;5
LINC01349;0
LINC01066;0
AL161640.1;0
RPS3AP52;0
RPL23P5;1
AC018717.1;0
BZW1-AS1;184
TCEA1P2;25
OR3D1P;0
ELOCP12;0
LINC01786;8
OR5M4P;0
LINC00595;14
ARL2BPP7;0
AL672310.1;0
EMC1-AS1;157
RSU1P1;0
LINC01036;3
ALG14-AS1;0
AL049542.1;1
USP17L25;0
AC114803.1;8
AL031770.1;1
LINC01650;0
AC004160.2;7
AL136460.1;0
SERPINB9P1;370
AL391119.1;0
ASB15-AS1;0
TFAMP1;0
LRRC37A6P;59
CTF2P;0
LINC00276;0
RPL7P4;0
NEK2P4;1
RPS29P6;0
LINC01381;0
ANKRD18B;14
U73166.1;56
PA2G4P4;18
GPM6BP1;0
AC060773.1;0
PROX1-AS1;0
VENTXP4;0
CLUHP5;0
RPL5P26;1
AL078645.1;0
AP000532.2;0
AL135908.1;0
ATP6V1G1P7;0
OFD1P9Y;0
AC005034.1;0
Z96811.1;2
AP000695.1;35
AC093142.1;1
IGKV1OR22-5;0
ATP5MC2P3;1
AC124057.1;2
OR51A10P;0
AC000077.1;0
PSMG3-AS1;187
VAV3-AS1;0
AL139383.1;51
AC234781.4;0
AL049651.1;0
AL132765.1;1
MTCO2P7;0
EEF1B2P8;0
AL035409.1;3
AC108463.2;4
MKX-AS1;1
ANKRD30BP3;0
AL953862.1;0
AL354824.1;0
RPL7AP8;4
RPL19P21;8
PPP5D1;26
THAP7-AS1;246
AC092580.2;0
AL589642.2;0
HMGB1P49;0
AC092098.1;0
AL645929.1;43
MBD3L2;0
LINC01756;0
COL6A4P1;17
LINC01799;0
AC073370.1;0
NOS2P3;0
CEACAMP9;0
LIMD1-AS1;1092
MTND5P7;0
AC091133.1;784
AL356234.2;0
AL392046.1;24
BASP1P1;12
AL360268.1;6
AL158071.2;8
Z82209.1;0
AOAH-IT1;0
LINC00102;0
LINC00102;0
SNX3P1X;0
AL445193.1;0
HMGB1P11;4
MTND4P27;0
USP17L1;0
ERLNC1;47
AC021078.1;235
AC092162.2;10
AL450326.1;63
AC073264.2;0
CEACAMP2;0
RPL17P12;1
CCDC192;30
FAM133DP;1
AL121757.1;0
CALM1P2;0
ZNF32-AS2;160
SF3A3P1;4
AC114763.2;0
AL139095.3;0
AC113347.1;0
AC027612.2;0
LINC02639;0
AC013286.1;0
OR6R1P;0
AC234781.5;2
RPL19P5;9
ACTG1P14;5
GTF2IRD1P1;372
CCT5P2;5
PHBP12;3
LINC02580;7
IMP3P1;0
FTX;1014
RPSAP8;23
PPIAP40;4
CT47A4;0
RSL24D1P2;0
GPAA1P2;5
AL136164.1;0
AL645937.3;0
AC018495.1;0
AC073188.3;0
TEX48;0
AC011753.1;0
TSEN15P2;1
MTCYBP6;0
AC092683.1;12
AC005722.1;0
AL513185.2;0
HMGB1P27;0
AC004039.1;5
HM13-AS1;33
DYNLL1P7;0
AL139220.2;41
AC079987.1;0
H3P12;2
AC068138.1;0
UQCRHP1;0
AC104461.1;2
AC011005.1;39
Z97205.1;0
AL160408.3;0
RPS23P8;415
DNM3OS;112
AL353152.1;1
AL031597.1;0
CYP4F60P;0
RPL36P1;0
AL022324.1;3
AL445933.1;10
VN1R36P;0
USP12-AS2;13
AP000533.3;0
LINC01818;0
KLF2P2;1
AC022816.1;0
AL138831.1;1
AC024084.1;0
AC140479.2;21
RGPD4-AS1;0
MTCO2P25;0
OR7E55P;0
PRB4;0
KLHL7-DT;61
AL451074.4;6
YY1P1;0
TNPO1P2;1
FAM224B;0
THAP12P1;1
CEACAM22P;4
SETSIP;27
AL844175.1;0
NDUFS5P5;0
PABPC1P3;0
AL353803.2;20
ENO1-AS1;23
AC004869.1;0
CEACAMP4;0
GRPEL2P3;0
DDTP1;0
AL158207.2;3
AC067945.1;0
AL008626.1;1
AC013402.1;0
MRPL35P4;1
AL450003.1;0
AC012462.3;0
AC011753.2;0
SAP18P3;0
AC105935.2;8
AL645608.2;2
FBXW4P1;6
RPL31P30;2
MYOM3-AS1;0
AL021940.1;0
TMEM184CP1;0
AL589987.1;0
AC104024.1;0
LINC00332;0
CTAGE13P;0
GGTLC4P;4
AL355526.1;0
AC018638.2;122
KRT8P7;10
AC114878.1;0
LINC02644;0
AL049597.1;29
LINC01001;3
AL035252.2;4
RBMY2WP;0
AL590093.1;1
AL160270.1;41
AC074011.1;19
AL589745.1;10
AC016949.1;36
AC092171.2;237
RPL10P3;70
AC093423.2;3
AL021937.1;8
AC106870.2;0
AL392003.2;0
Z82173.1;1
AC006007.1;0
AC021188.1;3
PRELID1P7;0
MEIS1-AS2;812
SDAD1P2;2
AC007036.2;0
ZNF341-AS1;9
MTATP6P23;0
RHOQP3;3
NFU1P1;0
SNAP23P1;1
AC095032.2;0
MTND1P4;0
LINC01676;0
Z98048.1;0
VN1R108P;0
AC092650.1;9
RPS29P5;24
ANKRD63;0
AL161636.2;3
Z83820.1;0
AL807761.4;3
RPS3AP13;18
AC006326.1;0
PSAT1P3;5
CTDSPL2P2;0
ARHGAP26-IT1;0
AC012456.2;1
SMARCE1P5;6
AF015720.1;0
HLA-K;58
AC064862.1;0
YY2;79
FOXD3-AS1;0
RPS2P16;1
AL160175.1;0
AC097532.1;0
CDRT15P14;1
AL132709.7;9
SRGAP2-AS1;0
AC099535.1;2
RPS6P15;0
AL356583.3;0
USP9YP24;0
AL807757.1;0
LINC01362;0
MTND2P16;0
ZNF736P5Y;0
AC000362.1;0
AC245291.2;0
CBX1P1;0
AC005532.1;1
AL390774.2;0
AL583843.1;0
AC025181.1;8
ARPP21-AS1;0
AC007349.2;2
SSBL4P;3
RPEP3;1
AC068580.2;0
AP001187.1;0
LINC01293;1
RPL31P2;19
LINC01614;203
AC097463.1;0
RPL23AP15;1
AL139824.1;0
ZNF674-AS1;125
GSTA10P;0
AL158154.2;0
OCLNP1;0
AL360268.2;0
GOT2P2;6
AP006294.1;0
LINC02857;0
RPL10P11;0
USP9YP20;0
YRDCP3;0
CCNB1IP1P2;0
AL137803.1;0
AC099567.1;0
TSEN15P1;1
LINC02558;1
AL157884.1;0
AGAP10P;6
FBXW11P1;10
RPS6P23;0
MFSD13B;6
STMND1;14
LINC00486;4
RBMX2P4;0
AL445933.2;0
AC005077.4;21
HMGB1P25;0
SHC1P1;0
LINC00692;0
AL133284.1;4
AL604028.1;60
RPS18P12;287
AL596087.3;2
MAGEA8-AS1;1
FAM204CP;1
XKRYP2;0
AL591074.1;0
AL391807.1;3
PPIHP1;0
AL021707.4;8
NPM1P51;1
AC004840.1;0
MTCO1P53;13
DPP4-DT;5
AL513422.1;0
HAO2-IT1;0
AL079301.1;0
LINC00309;0
AC239367.2;0
TMBIM7P;81
AL139241.1;73
AC099513.1;11
GXYLT1P1;0
AL355306.1;0
BX276092.4;0
RPS3P1;1
AC073347.1;0
MIR205HG;261
AC002386.1;0
HMGN1P5;0
LINC02541;9
AC026202.1;0
LINC01507;0
HNRNPA1P68;0
AP000356.1;0
AURKBP1;1
MTND2P21;0
GPS2P2;2
AC099344.1;0
AC099677.1;11
AL929472.2;73
CAPZA1P1;1
AC093166.2;0
AL109910.1;0
LINC01520;0
AC233266.1;0
SNX18P13;0
AL133387.2;0
AC084149.1;0
LINC02090;0
HHATL-AS1;2
AP001116.1;0
AL049734.2;0
AC012355.1;0
AC023274.1;0
LINC00160;6
AC079250.1;261
RPL36AP39;19
DSTNP1;10
DDX3P2;0
AL359976.1;0
RPL23AP11;1
HSBP1;4697
AL049649.1;0
AC092625.1;0
FAM201B;2
RPL12P15;2
FGFR3P1;0
RAB42P1;0
MTND5P8;0
CCNB1IP1P3;0
CECR9;0
RPL39P39;0
RPL7P32;22
CDC20P1;297
CUBNP1;0
AL121672.1;16
AC092832.1;0
SCTR-AS1;0
AL049594.1;1
RPS27P10;3
EIF4A1P3;0
LINC00373;0
AL591043.1;0
RPS3AP9;0
LINC00326;0
AC092431.1;4
XKRYP4;0
LINC00271;20
AL031733.1;1
LINC01804;2
CEP19P1;0
AL118520.1;0
RPL7L1P9;0
AL355303.1;0
LINC01911;0
AC007238.1;31
AL360227.1;1
GCNT1P3;0
OR52B5P;0
AL109917.1;5
USP17L28;0
AL353614.1;0
TRAPPC2LP1;0
AC093833.1;0
LINC02522;2
AC096637.2;15
MSANTD2P1;0
FARSBP1;0
LINC00395;0
AC103563.2;0
RPL6P6;0
THBS3-AS1;702
NPM1P9;0
KRTAP21-3;0
BX842568.2;1
OR52Y1P;0
IDI1P3;0
GAPDHP64;6
AL590133.1;1
HCG18;1068
AL157414.2;0
KIF5C-AS1;0
AL592161.1;6
AL078587.1;0
LINC02655;0
AC011747.1;0
RPL22P24;10
TSSK1A;3
FDPSP7;5
MIR4422HG;0
AC012513.1;1
AL391256.1;0
GYG1P3;1
NDUFB4P3;0
AC008154.2;0
BMS1P19;0
AL606752.1;0
AL035588.1;2
PRAMEF30P;0
AC022395.1;49
ECE1-AS1;8
LINC01436;40
LINC01508;152
PRELID3BP11;0
FO393408.1;0
MTHFD2P3;1
AL035587.1;75
AC078842.2;0
AL031666.1;93
BTF3P10;20
FAM25E;0
SPATA20P1;4
UBE2V1P11;0
AF129075.1;16
AL137856.1;2
HLA-T;1
LNCAROD;16
AC022537.1;0
HAR1B;1
TCF7L1-IT1;0
AP000705.1;0
RBM22P5;0
AC009987.1;0
AC104843.2;0
BX005214.2;0
TTTY3;0
AL157378.1;0
EEF1A1P40;0
ARHGAP42P2;0
HMGB1P7;0
AL354979.1;0
DNAH8-AS1;0
MTND2P15;0
AC002429.1;0
MORF4L2-AS1;132
AC093702.1;0
PTP4A1P1;0
OFD1P8Y;0
KLF3-AS1;209
COX11P1;0
CSMD2-AS1;0
RPL7P56;2
TRBV26OR9-2;0
TUBB4BP6;0
YBX1P2;108
EEF1B2P1;14
AC002451.1;15
LINC01098;5
AC007099.1;0
AC116609.2;2
LINC01720;0
LINC00852;40
AL357832.1;0
AL954705.1;5
AC007003.1;0
CCNQP3;0
SPRY4-AS1;21
AL356056.2;19
AL139819.1;0
AC013448.1;0
OR5H1;0
AL157884.2;0
FARP1-AS1;297
IFNA11P;0
AC004987.1;7
MTND5P19;0
AF127577.2;1
TRGVB;0
KRT8P10;49
AC011752.1;1
ZNF826P;197
HNRNPA1P25;2
FO393419.1;0
ZBTB46-AS1;3
COMETT;0
RPL17P49;0
AL590399.3;2
PLSCR5;0
GS1-600G8.3;1
PRAMEF32P;0
LINC01593;0
ARF4P4;0
TRIM31-AS1;5
AC006450.1;0
ARPP19P1;0
LINC01423;0
AC023141.6;0
CFAP58-DT;12
SKP1P1;0
CTNNBL1P1;0
AP001605.1;2
OR6K1P;0
LINC00349;0
KLF2P1;17
RPS3AP3;0
AC116038.1;0
PSMC1P3;0
C1DP1;10
LINC02884;5
FAM242D;0
ITPR1-DT;3
AL021921.1;0
AC099792.1;1
LINC01640;0
PCED1CP;0
AC005009.1;0
CFAP97D1;0
ZSWIM5P2;1
ANAPC1P2;0
HMGN2P10;1
ARAFP1;0
TRERNA1;0
AC010745.3;0
COBLP1;0
AP000350.3;4
AL122008.1;0
SBK3;3
E2F4P1;0
OR9S24P;0
SALL4P6;0
APCDD1L-DT;4
AC106799.1;0
IGKV1OR2-108;1
RPL36AP6;0
AC004888.1;191
AL050341.1;0
AL627443.1;0
MANCR;2
SEPTIN14P24;0
EZH2P1;1
RPL13AP;1
RPL36P2;1
SGO1-AS1;177
AC112484.1;86
RPS3P2;2
TBL1XR1-AS1;258
PRYP2;0
MAP4K3-DT;222
CLIC1P1;21
AL591419.1;0
AC091812.1;0
RPL13AP17;2
AP000696.1;0
LINC02662;0
LINC01816;105
TPT1P7;0
AL031772.1;91
AC103563.3;0
OOEP-AS1;0
RPL34P6;3
EML6-AS1;0
AC017006.1;0
ACTG1P10;10
VDAC1P6;0
AL020997.1;1
BEND3P1;20
LINC01160;2
AC119749.1;0
WBP1P1;9
AL355994.1;0
AP000302.1;0
MTFR1P1;0
AC006028.1;2
AL355516.1;0
AC072052.1;2
RPS29P23;0
AC069271.1;2
LINC01712;0
WARS2-AS1;138
RPS26P40;0
LINC02613;51
RPSAP40;1
Z97353.1;60
AKR1B1P8;0
GNA14-AS1;0
CDY17P;0
HMGN2P16;0
NDUFAF4P4;0
RNF2P1;29
NBPF21P;1
FGF12-AS1;0
AC007919.2;0
MOB4P1;1
FMN2P1;0
HLA-DPA1;12745
SNX18P8;0
AC244157.1;0
AL357874.2;1
AC099681.2;0
ARL4AP4;2
USP17L10;0
AC004941.2;0
AL359385.1;1
SNRPEP8;0
AC023481.1;2
WASF5P;0
AC099344.2;0
RAC1P3;1
AL008638.1;0
GORAB-AS1;39
AC018868.1;55
DUX4L31;0
AC005392.2;0
AL356289.1;0
RPL39P15;9
AL358472.1;16
IRX1P1;1
AC005090.1;0
LINC00689;59
LINC01817;0
AC011840.1;0
LINC01516;0
RAB9AP5;0
BX284613.2;18
FILNC1;0
LINC01445;2
LINC00396;1
FAR2P4;1
HSP90AA3P;7
RBMY3AP;0
LINC01750;4
WASIR2;29
AL358176.4;0
DST-AS1;0
LARP1BP1;0
AC124944.1;36
TIMM8AP1;1
AC244102.1;0
AC097359.1;1
LINC01305;0
AL935212.2;0
RNASEH1P2;1
AL365204.1;0
HLA-DPA2;0
AC024937.2;14
AL022324.2;5
AL022314.1;0
PRDX3P2;7
HMGB3P2;2
HMGN2P34;0
RB1-DT;7
IGHV4-31;1
AC074389.2;0
AC004448.1;0
FCF1P9;0
SNRPGP13;0
AC105450.1;28
AC023141.7;0
AP006285.1;0
AL606490.4;0
RPL7L1P2;0
JKAMPP1;0
AP003774.1;0
RPL21P35;3
AL121885.3;0
AL136369.2;0
RPS18;74030
MTND4LP1;1
PTMAP4;277
NMD3P2;0
AC108868.1;0
LINC01353;4
RPL34P20;1
AL162253.1;0
LINC02782;0
SEPTIN14P21;0
E2F6P4;0
CCNQP2;0
AC006003.1;0
CBX1P5;0
AC007285.1;3
AL162385.2;1
SEPTIN14P1;0
AC002486.2;0
FAM27C;9
FAM225A;4
LINC02779;0
AL157932.1;14
HINT1P1;1
LINC01249;2
AL391840.1;11
FBXO36-IT1;0
LINC00278;0
AC226101.1;0
MTCO3P10;0
DPP10-AS3;0
AC010132.1;0
ELOCP9;0
RPS6P2;0
TAB3-AS1;4
RSL24D1P11;1
RPL3P5;1
AC096632.1;0
OR55B1P;1
ATP5MDP1;7
PTCHD3P2;1
AC245100.4;97
IGBP1P3;2
RNMTL1P1;0
RSL24D1P3;0
AC020718.1;0
Z95118.1;0
CLEC12A-AS1;8
CEACAMP5;0
AL512593.1;0
AL139288.1;14
EIF4A1P11;1
NEK2P2;0
LINC02595;21
MTND2P19;0
S100A11P7;0
AL355334.1;0
PPIAP63;0
LINC02015;33
AL139118.1;0
MTCO2P20;0
RPL7P21;0
MTND4LP21;0
AC108938.1;0
FAHD2CP;111
AC034228.1;0
RPS23P9;0
SNORD62B;11
SHQ1P1;24
AC009110.1;0
AC235565.1;0
BX510359.4;0
AC007557.2;0
AC236972.1;0
AL157709.1;0
AL606490.5;0
AL133232.1;0
LINC01363;0
AL357873.1;0
DLEU2;282
AC007098.1;230
PIK3CDP1;0
AC104462.1;1
AC099568.1;0
AL645568.1;0
AL354733.2;30
ANAPC15P1;0
AP000855.1;0
ANKRD44-AS1;3
RPS29P7;0
SLC47A1P2;0
AC013402.2;0
AL133406.2;44
AL592464.1;1
LINC00283;0
ATP5F1BP1;0
AGBL5-AS1;1
USP17L29;0
LUARIS;6
YWHAQP8;0
KRT17P6;0
FSIP2-AS1;1
LINC01698;3
SPATA31B1P;0
RFESDP1;0
DLG3-AS1;12
AL590428.1;77
AC010731.2;0
RPS6KA2-AS1;0
EMP2P1;2
RPS8P6;0
AL357052.1;2
COA6-AS1;207
OGFOD1P1;0
LINC01704;0
OR7E111P;0
PPP2R2DP1;0
LINC01307;0
DIRC3;31
LINC00410;0
AC005042.2;0
AL358779.1;0
LINC02723;0
AC020743.2;0
LINC01891;1
AL033397.1;0
EIF1P3;16
ANKRD11P2;4
RPL21P43;1
LINC01090;0
LINC00574;3
AL592114.3;1
AC244098.3;0
NANOGP5;1
AP002856.2;0
AC020550.1;0
AL356276.2;3
BMS1P13;0
AL645608.3;1
AL354993.1;8
AC004895.1;5
AL451069.2;0
CYCSP43;0
PABPC1P1;28
LINC00899;158
H3P5;0
AF064860.2;5
AL513348.1;0
COX6CP2;2
CDY23P;0
LINC02789;0
AL353747.3;33
LINC-PINT;99
CHMP4AP1;0
CAPZBP1;0
AC112907.1;0
VN1R110P;0
HMGN2P38;1
TMSB15B-AS1;1
ARHGEF9-IT1;0
AC010976.1;212
RPS2P18;2
TSPAN19;2
GAPDHP59;0
AL136985.1;0
AL353743.3;1
LINC01273;18
AC026396.1;0
AL669818.1;0
AC079922.1;33
AL596223.2;28
ABCA9-AS1;4
NANOGP10;0
EMBP1;36
AL512380.1;0
CHODL-AS1;8
AL449983.1;2
ARHGAP15-AS1;0
AL355312.2;215
AL590426.1;0
PQLC1P1;0
DLX6-AS1;4
PPP1R11P2;0
MTCO2P5;0
RPS27AP5;416
LINC01354;2
AL035701.1;16
TMEM44-AS1;232
Z93403.1;0
LINC01611;0
MTND4P21;9
AC090960.1;0
AC079896.1;1
LINC00575;0
DBIL5P;7
H2BP9;0
RPL31P50;1
PIK3CD-AS2;81
AL445228.1;0
DOC2GP;15
AC009542.1;179
ITCH-IT1;0
PA2G4P6;11
ANP32BP2;0
DNAJB6P3;0
AL353748.1;4
PCAT7;233
LINC01388;0
NANOGP9;0
RPL36AP35;0
AL159166.1;1
SNRPCP9;0
LINC00210;0
AC007179.1;0
LINC01198;0
NPM1P48;0
SMC3P1;27
AKAIN1;0
LINC01819;8
AL513523.2;3
AL157834.1;10
AC245140.1;3
MTHFD1P1;5
RPS7P2;0
DPY19L4P2;0
TMEM139-AS1;922
FAM192BP;6
HMGB3P14;0
AC092832.2;0
KRTCAP2P1;11
UBE2V2P4;0
MRPS9-AS1;403
CYP21A2;23
AL161935.2;0
AL162377.1;153
MORF4L1P5;0
AC067945.2;2
AC079781.1;0
OR5K2;0
AL139393.1;1
AL807752.3;353
AC099677.2;0
AP001625.1;0
AL031848.1;144
KRT17P3;0
IPO9-AS1;226
AC099560.1;1
TSPY18P;0
AL359885.1;0
AC009158.1;0
AL359551.1;9
SNRPFP1;4
TXNL1P1;0
KF459542.1;182
AL109615.2;117
F10-AS1;2
AL138733.2;0
NDUFB1P1;2
PRH1;8
MTND5P15;0
TRAF3IP2-AS1;53
DARS-AS1;348
AC073316.2;1
WDR95P;0
AC019185.1;1
MARK2P14;0
MYO3B-AS1;1
GOT2P1;1
AL354754.1;0
AL135923.2;0
AC079354.1;0
SETP10;4
AC016397.1;0
GAPDHP37;0
IDH1-AS1;5
MAP1LC3BP1;0
GAMTP2;0
TPRKBP1;0
FO393415.2;0
RARRES2P3;0
LINC00387;0
SALL4P5;0
AC006033.1;11
AC007402.1;0
NEBL-AS1;10
AL138479.1;0
AC024082.1;0
PSG1;0
TAPBP;12811
SEPHS1P7;0
AC093734.1;1
HMGB3P31;0
AF228730.1;0
AC024082.2;1
MYO18B-AS1;0
FAM242A;1
AC116666.1;0
RPS7P3;122
HNRNPA1P36;43
PGM5P4-AS1;0
PHKA1-AS1;0
MTND2P24;0
HS1BP3-IT1;0
AL161638.1;0
AC004837.3;4
DPY19L1P2;5
AL031432.1;3
MTND2P22;0
AC007383.2;327
HNRNPA1P9;1
GNAI2P2;0
AL035461.1;0
AL662864.1;0
AL731567.1;8
AF131215.1;0
LINC02818;2
AL135786.1;2
MMADHC-DT;326
AL355490.2;208
CT69;1
FAM238B;1
AL096828.1;0
AL590103.1;0
AL356361.2;0
AC011899.1;0
RPL7L1P12;0
AC112907.2;13
LINC00415;0
AL596266.1;0
AL354949.1;0
AP000474.1;0
LINC01787;0
OFD1P3Y;0
PPP1R2B;6
AL442224.1;0
ANXA2P2;499
AC092802.3;0
EP300-AS1;14
AL590399.4;0
AC096949.1;0
LRRC8C-DT;98
CLCN3P1;39
AC108868.2;1
LINC01880;0
ZNF736P12Y;0
CAP1P2;20
AC005537.1;34
AL591503.2;0
DNMT3L-AS1;0
HSPE1P25;0
AC074183.1;0
LEF1-AS1;94
FAAHP1;3
LINC01807;0
LSM12P1;15
AL671986.1;2
AC007391.1;3
ELOCP15;0
MAGEB6B;0
AL078599.2;0
AC079781.2;0
AC092168.2;3
AL135790.1;0
AL078645.2;1
AL590556.1;5
DEFT1P2;0
ZBED9;66
PSMD10P3;0
AL512286.1;0
AL133230.1;285
SILC1;20
LINC01798;54
HNRNPCP9;0
Z98949.1;0
AC078845.1;2
NPM1P34;0
AC092687.1;0
AC093390.1;1
AC005772.1;0
AL451007.1;4
SLC4A1APP1;1
AL691447.2;19
USP9YP33;0
LINC01063;12
AF003529.1;0
RPS29P28;0
TMEM253;30
AC004870.4;0
Z82198.2;5
MRPL35P2;9
LINC01031;3
LINC01697;423
AL662789.1;0
LARGE-IT1;4
RPS6KA2-IT1;3
RPL31P7;11
LINC01104;0
AL606534.2;21
AL159990.2;0
HCFC2P1;0
AC011233.1;0
POLR2DP1;0
PNLIPP1;0
DCST1-AS1;48
YPEL5P1;1
AC079781.3;0
AC012313.1;265
LINC01653;0
AC108059.1;0
MTCO3P2;0
RFX3-AS1;2
RPL32P28;0
VN1R54P;0
AL353751.1;13
AC073488.1;0
TMA7;4452
TEX50;0
NPLP1;0
AC026884.1;0
LINC00384;0
BACH1-AS1;4
MCTS1;1349
AL357375.1;0
AL450469.2;1
AP001057.1;1
DYTN;1
MTCO3P45;0
AC092966.1;0
NCOA7-AS1;0
NDFIP2-AS1;1
IMPDH1P10;34
RPS15AP12;51
AL031663.1;0
DUXAP7;0
IFNWP5;0
LINC00867;102
AC073257.1;12
RPS25P9;1
PSAT1P2;0
AC099548.1;0
FMO11P;0
FERP1;229
ST13P4;23
AC012593.2;0
MTCYBP15;0
AC244090.1;0
C11orf98P1;0
RAB9BP1;0
RAP2C-AS1;209
AC023141.8;0
USP12-AS1;0
RPLP1P13;0
LINC01873;0
AC006455.6;0
AL122008.2;0
AC137675.1;0
P2RY10BP;0
LINC00708;0
AL359092.2;3
OR2H5P;0
AC113340.1;0
AL122003.1;0
AL161909.1;20
MTND4P24;20
MTATP6P29;0
AL031386.1;0
AL662889.1;0
CNOT7P2;0
TERF1P7;6
FTH1P7;417
AL354714.3;0
LINC02181;0
KIF26B-AS1;7
AL157359.2;0
Z99943.1;8
TOMM22P2;0
MTRNR2L4;2
AL596442.1;1
MTCO2P34;0
RPL3P8;1
AL158090.1;0
CHORDC1P1;0
SLC25A6P2;3
TET1P1;0
CDY18P;0
AL139415.1;0
AL353613.1;1
LINC01701;0
OR2L6P;1
IGHV3-43;2
FTLP8;0
AL021937.2;4
AC008440.1;1029
CNN2P10;0
LINC01047;0
ARSFP1;0
AC013401.1;0
RPL36AP16;5
LINC00865;323
TPM4P1;1
LINC02043;8
AL355499.1;0
CDY3P;0
ASCL5;5
RPS29P8;0
RBPJP5;0
AL356387.2;0
DYNLT3P1;0
ZYG11AP1;0
AL035415.1;0
AC152007.1;0
AL354994.1;0
CSF2RBP1;0
