symbol;value
SLC44A1;1552
TMEM260;289
SMG6;1116
EXOC5;1089
CLTCL1;186
FGF22;13
FSTL3;350
DGCR2;1870
RNF126;410
MNT;542
ZXDC;548
JMJD6;385
POLB;222
ST6GALNAC1;51
WIPI1;538
FRMPD1;19
GBA2;937
NDST1;1790
ASNS;4
AP3M2;264
CNGB1;0
ST6GALNAC2;89
CHAT;0
PABPC1;23844
TESK2;81
CFAP20;528
CSNK2A2;2210
PTPN21;653
EIF2B3;733
CAMK2A;2
TCOF1;696
CDC42;3284
OSBPL3;45
EPHA8;7
SLC12A3;3
RAD18;145
ATP2B1;580
TRPM5;0
NCK2;787
MAP4K4;2374
MGAT4A;359
RPL31;21817
WDR1;3471
SNX13;1782
MS4A12;0
ARHGAP10;999
RPS6KA2;2257
ING3;241
VASH1;397
LMCD1;2898
BUD23;1020
SEL1L;2801
TRIP13;22
ATP6AP1;1491
TCF3;541
TRIB2;848
DAZAP1;1616
MBD3;837
PRLH;0
HLTF;398
FAM50A;1653
FAM3A;874
CPSF1;903
MYO3B;4
CYBRD1;10733
CDH19;52
PDCD2;906
SLC6A15;50
RDH11;522
PRKACA;1872
ADGRL1;639
SPP2;0
ACTN1;2084
ZFYVE26;609
RPS6KA6;35
EPN2;619
PTPN18;1206
LIMS2;1854
ASIC4;1
SPEG;102
LNX1;517
ALDH3A2;2332
TFRC;423
SREBF1;4644
TRPC5;0
AFF4;1529
UBE2D1;284
MPP5;442
RHOBTB1;407
SMC1A;1304
HSD17B10;2261
MARK2;494
HMMR;5
CHFR;299
TRHDE;947
P4HA2;270
FCGR2B;160
NFATC3;862
TRNT1;529
ACADVL;7692
STK10;699
FBXW11;997
ACAP1;151
CRMP1;157
EVC;293
DERL2;647
SIDT1;45
NDE1;667
IRAG1;443
TMEM38A;112
AP1M1;1736
PVR;236
XRCC1;581
SCARB1;1751
CYP2W1;1
MCM2;125
MOV10L1;27
PANX2;5
SELENOO;473
TP63;14
ALPK1;293
LLGL2;130
PDE8A;1107
CLCN4;274
NLE1;472
SDHA;172
SMARCE1;115
FNDC8;18
GSDMB;569
KDM5A;1076
ADAM11;18
PPP2R3A;327
FERMT2;6369
ABCB11;206
DHRS9;176
CD5L;0
PTGS2;284
IGF2BP2;235
